,Fecha,Hora,DOW,Coordenadas,Ciudad,Heridos,Cuenta heridos,Muertos,Cuenta muertos,Clase accidente,Barrio,Tipo vehiculo
2262,2020-12-18,19,5,"3.55673,-76.28898",Palmira,1,,0,,Choque,ALAMEDA,NO APLICA
2263,2020-12-18,18,5,"3.5339,-76.30657",Palmira,0,,0,,Choque,EMILIA,AUTOMOVIL
2264,2020-12-18,18,5,"3.5339,-76.30657",Palmira,0,,0,,Choque,EMILIA,AUTOMOVIL
2265,2020-12-19,15,6,"3.52431,-76.28438",Palmira,0,,0,,Choque,FATIMA,AUTOMOVIL
2266,2020-12-19,15,6,"3.52431,-76.28438",Palmira,0,,0,,Choque,FATIMA,CAMIONETA
2267,2020-12-19,10,6,"3.54111,-76.31019",Palmira,1,,0,,Choque,JUAN PABLO,MOTO
2268,2020-12-19,10,6,"3.54111,-76.31019",Palmira,1,,0,,Choque,JUAN PABLO,AUTOMOVIL
2269,2020-12-17,11,4,"3.55574,-76.29186",Palmira,1,,0,,Choque,LOS MANGOS,MOTO
2270,2020-12-17,11,4,"3.55574,-76.29186",Palmira,1,,0,,Choque,LOS MANGOS,AUTOMOVIL
2271,2020-12-18,9,5,"3.55613,-76.28941",Palmira,0,,0,,Choque,ALAMEDA,MOTO
2272,2020-12-18,9,5,"3.55613,-76.28941",Palmira,0,,0,,Choque,ALAMEDA,BUSETA
2273,2020-12-18,6,5,"3.53901,-76.30984",Palmira,0,,0,,Choque,FRAY LUIS,MOTO
2274,2020-12-18,6,5,"3.53901,-76.30984",Palmira,0,,0,,Choque,FRAY LUIS,BUS
2275,2020-12-19,11,6,"3.5306,-76.30011",Palmira,0,,0,,Choque,COLOMBIA,CAMIONETA
2276,2020-12-16,8,3,"3.52259,-76.27988",Palmira,0,,1,,Choque,LAS FLORES,MOTO
2277,2020-12-16,8,3,"3.52259,-76.27988",Palmira,0,,1,,Choque,LAS FLORES,MOTO
2278,2020-12-16,8,3,"3.52259,-76.27988",Palmira,0,,1,,Choque,LAS FLORES,AUTOMOVIL
2279,2020-12-19,22,6,"3.54375,-76.30277",Palmira,1,,0,,Choque,BENEDICTA,MOTO
2280,2020-12-19,22,6,"3.54375,-76.30277",Palmira,1,,0,,Choque,BENEDICTA,AUTOMOVIL
2281,2020-12-19,23,6,"3.54243,-76.30219",Palmira,1,,0,,Choque,BENEDICTA,MOTO
2282,2020-12-19,23,6,"3.54243,-76.30219",Palmira,1,,0,,Choque,BENEDICTA,AUTOMOVIL
2283,2020-12-19,23,6,"3.54243,-76.30219",Palmira,1,,0,,Choque,BENEDICTA,AUTOMOVIL
2284,2020-12-20,11,7,"3.59826,-76.46321",Palmira,0,,0,,Choque,CUIDAD DEL CAMPO,AUTOMOVIL
2285,2020-12-20,11,7,"3.59826,-76.46321",Palmira,0,,0,,Choque,CUIDAD DEL CAMPO,CAMPERO
2286,2020-12-20,12,7,"3.53898,-76.30742",Palmira,0,,0,,Choque,INDUSTRIAL,AUTOMOVIL
2287,2020-12-20,12,7,"3.53898,-76.30742",Palmira,0,,0,,Choque,INDUSTRIAL,AUTOMOVIL
