,Ciudad,Year,Month,Accidentes,Habitantes,AccidentesNormalizado
100,Barranquilla,2016,5,575,1311856,438.310302350258
101,Bucaramanga,2016,5,317,608947,520.5707557472161
102,Envigado,2016,5,1039,241863,4295.820361113523
103,Medellin,2016,5,3992,2570327,1553.1097794171715
104,Barranquilla,2016,6,528,1311856,402.48319937554123
105,Bucaramanga,2016,6,304,608947,499.2224282244596
106,Envigado,2016,6,988,241863,4084.9571865064104
107,Medellin,2016,6,3868,2570327,1504.8668904773594
108,Barranquilla,2016,7,553,1311856,421.5401690429437
109,Bucaramanga,2016,7,291,608947,477.87410070170307
110,Envigado,2016,7,1045,241863,4320.627793420243
111,Medellin,2016,7,4070,2570327,1583.456112782537
112,Barranquilla,2016,8,615,1311856,468.801453818102
113,Bucaramanga,2016,8,314,608947,515.6442186265799
114,Envigado,2016,8,1013,241863,4188.321487784407
115,Medellin,2016,8,4039,2570327,1571.395390547584
116,Barranquilla,2016,9,562,1311856,428.40067812320865
117,Bucaramanga,2016,9,305,608947,500.86460726467163
118,Envigado,2016,9,1120,241863,4630.720697254231
119,Medellin,2016,9,3968,2570327,1543.772446073982
120,Barranquilla,2016,10,560,1311856,426.87612054981645
121,Bucaramanga,2016,10,284,608947,466.37884742021885
122,Envigado,2016,10,1122,241863,4638.989841356471
123,Medellin,2016,10,4067,2570327,1582.2889461146383
124,Barranquilla,2016,11,588,1311856,448.21992657730726
125,Bucaramanga,2016,11,286,608947,469.6632055006429
126,Envigado,2016,11,1156,241863,4779.5652910945455
127,Medellin,2016,11,3920,2570327,1525.0977793876032
128,Barranquilla,2016,12,521,1311856,397.1472478686685
129,Bucaramanga,2016,12,332,608947,545.2034413503966
130,Envigado,2016,12,1089,241863,4502.548963669515
131,Medellin,2016,12,4040,2570327,1571.7844461035502
132,Barranquilla,2017,1,464,1311856,353.69735702699074
133,Bucaramanga,2017,1,301,608947,494.2958911038235
134,Envigado,2017,1,350,241863,1447.100217891947
135,Medellin,2017,1,4009,2570327,1559.7237238685973
136,Barranquilla,2017,2,533,1311856,406.2945933090217
137,Bucaramanga,2017,2,273,608947,448.3148779778864
138,Envigado,2017,2,392,241863,1620.7522440389807
139,Medellin,2017,2,3819,2570327,1485.8031682350145
140,Barranquilla,2017,3,553,1311856,421.5401690429437
141,Bucaramanga,2017,3,299,608947,491.01153302339935
142,Envigado,2017,3,406,241863,1678.6362527546587
143,Medellin,2017,3,3855,2570327,1499.8091682497986
144,Barranquilla,2017,4,540,1311856,411.63054481589444
145,Bucaramanga,2017,4,299,608947,491.01153302339935
146,Envigado,2017,4,351,241863,1451.234789943067
147,Medellin,2017,4,3668,2570327,1427.0557792841144
148,Barranquilla,2017,5,557,1311856,424.5892841897281
149,Bucaramanga,2017,5,343,608947,563.267410792729
150,Envigado,2017,5,436,241863,1802.6734142882542
151,Medellin,2017,5,3963,2570327,1541.8271682941509
152,Barranquilla,2017,6,506,1311856,385.71306606822696
153,Bucaramanga,2017,6,304,608947,499.2224282244596
154,Envigado,2017,6,325,241863,1343.7359166139508
155,Medellin,2017,6,3643,2570327,1417.329390384959
156,Barranquilla,2017,7,550,1311856,419.25333268285544
157,Bucaramanga,2017,7,313,608947,514.002039586368
158,Envigado,2017,7,410,241863,1695.174540959138
159,Medellin,2017,7,4097,2570327,1593.960612793625
160,Barranquilla,2017,8,541,1311856,412.3928236025905
161,Bucaramanga,2017,8,330,608947,541.9190832699726
162,Envigado,2017,8,407,241863,1682.7708248057784
163,Medellin,2017,8,3966,2570327,1542.9943349620496
164,Barranquilla,2017,9,506,1311856,385.71306606822696
165,Bucaramanga,2017,9,341,608947,559.983052712305
166,Envigado,2017,9,455,241863,1881.2302832595312
167,Medellin,2017,9,3835,2570327,1492.028057130474
168,Barranquilla,2017,10,516,1311856,393.33585393518797
169,Bucaramanga,2017,10,362,608947,594.4688125567578
170,Envigado,2017,10,486,241863,2009.4020168442464
171,Medellin,2017,10,3847,2570327,1496.6967238020686
172,Barranquilla,2017,11,584,1311856,445.17081143052286
173,Bucaramanga,2017,11,322,608947,528.7816509482763
174,Envigado,2017,11,385,241863,1591.8102396811419
175,Medellin,2017,11,3844,2570327,1495.52955713417
176,Barranquilla,2017,12,539,1311856,410.86826602919837
177,Bucaramanga,2017,12,320,608947,525.4972928678523
178,Envigado,2017,12,481,241863,1988.7291565886474
179,Medellin,2017,12,3655,2570327,1421.9980570565535
180,Barranquilla,2018,1,461,1311856,351.41052066690247
181,Bucaramanga,2018,1,322,608947,528.7816509482763
182,Envigado,2018,1,542,241863,2240.938051706958
183,Medellin,2018,1,3398,2570327,1322.0107791732335
184,Barranquilla,2018,2,462,1311856,352.1727994535986
185,Bucaramanga,2018,2,303,608947,497.5802491842475
186,Envigado,2018,2,401,241863,1657.9633924990594
187,Medellin,2018,2,3464,2570327,1347.6884458670045
188,Barranquilla,2018,3,525,1311856,400.1963630154529
189,Bucaramanga,2018,3,318,608947,522.2129347874281
190,Envigado,2018,3,473,241863,1955.6525801796886
191,Medellin,2018,3,3684,2570327,1433.2806681795741
192,Barranquilla,2018,4,529,1311856,403.24547816223736
193,Bucaramanga,2018,4,310,608947,509.0755024657318
194,Envigado,2018,4,526,241863,2174.7848988890405
195,Medellin,2018,4,3518,2570327,1368.6974458891807
196,Barranquilla,2018,5,478,1311856,364.3692600407362
197,Bucaramanga,2018,5,334,608947,548.4877994308208
198,Envigado,2018,5,431,241863,1782.0005540326547
199,Medellin,2018,5,3727,2570327,1450.0100570861216
200,Barranquilla,2018,6,462,1311856,352.1727994535986
201,Bucaramanga,2018,6,290,608947,476.23192166149107
202,Envigado,2018,6,402,241863,1662.0979645501793
203,Medellin,2018,6,3653,2570327,1421.219945944621
204,Barranquilla,2018,7,447,1311856,340.73861765315706
205,Bucaramanga,2018,7,334,608947,548.4877994308208
206,Envigado,2018,7,538,241863,2224.399763502479
207,Medellin,2018,7,3605,2570327,1402.5452792582423
208,Barranquilla,2018,8,467,1311856,355.9841933870791
209,Bucaramanga,2018,8,348,608947,571.4783059937893
210,Envigado,2018,8,548,241863,2265.745484013677
211,Medellin,2018,8,3703,2570327,1440.6727237429325
212,Barranquilla,2018,9,529,1311856,403.24547816223736
213,Bucaramanga,2018,9,352,608947,578.0470221546375
214,Envigado,2018,9,485,241863,2005.2674447931265
215,Medellin,2018,9,3677,2570327,1430.5572792878104
216,Barranquilla,2018,10,509,1311856,387.99990242831535
217,Bucaramanga,2018,10,311,608947,510.71768150594386
218,Envigado,2018,10,508,241863,2100.362601968883
219,Medellin,2018,10,3723,2570327,1448.4538348622568
220,Barranquilla,2018,11,506,1311856,385.71306606822696
221,Bucaramanga,2018,11,345,608947,566.5517688731532
222,Envigado,2018,11,563,241863,2327.7640647804747
223,Medellin,2018,11,3555,2570327,1383.0925014599309
224,Barranquilla,2018,12,523,1311856,398.6718054420607
