,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Clase accidente,Hora,Clima
11818,2019-11-09 05:00:00,6,Bolívar,0,0.0,0,0.0,Volcamiento,20.0,Normal
11819,2019-11-30 05:00:00,6,Bolívar,0,0.0,0,0.0,Choque,21.0,Normal
11820,2019-11-15 05:00:00,5,Bolívar,0,0.0,0,0.0,Choque,10.0,Lluvia
11821,2019-11-10 05:00:00,7,Norte de Santander,1,1.0,0,0.0,Choque,12.0,Sol
11822,2019-11-10 05:00:00,7,Norte de Santander,1,1.0,0,0.0,Choque,19.0,Normal
11823,2019-12-15 05:00:00,7,Caquetá,1,3.0,0,0.0,Volcamiento,14.0,Seca
11824,2019-11-16 05:00:00,6,Norte de Santander,0,0.0,0,0.0,Choque,19.0,Normal
11825,2019-07-23 05:00:00,2,Cauca,1,1.0,0,0.0,Choque,9.0,Normal
11826,2019-11-18 05:00:00,1,Norte de Santander,0,0.0,0,0.0,Choque,17.0,Normal
11827,2019-07-15 05:00:00,1,Cauca,1,3.0,0,0.0,Choque,21.0,Normal
11828,2019-12-26 05:00:00,4,Cauca,0,0.0,0,0.0,Choque,11.0,Normal
11829,2019-12-24 05:00:00,2,Cauca,0,0.0,1,1.0,Choque,0.0,Lluvia
11830,2019-07-14 05:00:00,7,Cauca,0,0.0,0,0.0,Choque,9.0,Normal
11831,2019-11-08 05:00:00,5,Planta Central,1,1.0,0,0.0,Choque,16.0,Normal
11832,2019-11-05 05:00:00,2,Planta Central,1,1.0,0,0.0,Volcamiento,8.0,Normal
11833,2019-11-18 05:00:00,1,Planta Central,0,0.0,0,0.0,Volcamiento,22.0,Normal
11834,2019-11-12 05:00:00,2,Planta Central,1,1.0,1,1.0,Atropello,17.0,Normal
11835,2019-11-29 05:00:00,5,Planta Central,0,0.0,0,0.0,Volcamiento,12.0,Normal
11836,2019-11-30 05:00:00,6,Planta Central,0,0.0,0,0.0,Choque,19.0,Normal
11837,2019-11-17 05:00:00,7,Planta Central,1,1.0,0,0.0,Choque,17.0,Normal
11838,2019-11-04 05:00:00,1,Planta Central,1,1.0,0,0.0,Choque,15.0,Normal
11839,2019-11-29 05:00:00,5,Planta Central,0,0.0,0,0.0,Volcamiento,6.0,Lluvia
11840,2019-11-08 05:00:00,5,Planta Central,0,0.0,1,1.0,Choque,18.0,Normal
11841,2019-11-07 05:00:00,4,Planta Central,0,0.0,0,0.0,Choque,23.0,Normal
11842,2019-11-09 05:00:00,6,Planta Central,0,0.0,0,0.0,Choque,10.0,Lluvia
11843,2019-11-11 05:00:00,1,Planta Central,0,0.0,0,0.0,Choque,20.0,Normal
11844,2019-11-21 05:00:00,4,Planta Central,0,0.0,0,0.0,Volcamiento,10.0,Lluvia
11845,2019-11-20 05:00:00,3,Norte de Santander,0,0.0,0,0.0,Choque,7.0,Lluvia
11846,2019-11-21 05:00:00,4,Norte de Santander,1,1.0,0,0.0,Choque,6.0,Lluvia
11847,2019-10-04 05:00:00,5,Nariño,0,0.0,0,0.0,Choque,9.0,Lluvia
11848,2019-10-06 05:00:00,7,Nariño,0,0.0,1,1.0,Caída ocupante,19.0,Seca
11849,2019-10-13 05:00:00,7,Nariño,0,0.0,1,1.0,Choque,9.0,Seca
11850,2019-10-19 05:00:00,6,Nariño,0,0.0,1,1.0,Choque,12.0,Seca
11851,2019-10-24 05:00:00,4,Nariño,0,0.0,1,1.0,Choque,15.0,Seca
11852,2019-10-27 05:00:00,7,Nariño,0,0.0,1,1.0,Choque,19.0,Seca
11853,2019-11-18 05:00:00,1,Norte de Santander,1,1.0,0,0.0,Choque,13.0,Normal
11854,2019-11-08 05:00:00,5,Norte de Santander,1,1.0,0,0.0,Choque,11.0,Normal
11855,2019-11-07 05:00:00,4,Planta Central,1,1.0,0,0.0,Choque,18.0,Normal
11856,2019-11-11 05:00:00,1,Planta Central,0,0.0,0,0.0,Choque,14.0,Normal
11857,2019-11-13 05:00:00,3,Planta Central,0,0.0,0,0.0,Choque,2.0,Lluvia
11858,2019-11-14 05:00:00,4,Planta Central,0,0.0,0,0.0,Choque,19.0,Normal
11859,2019-12-15 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,13.0,Normal
11860,2019-11-13 05:00:00,3,Planta Central,1,1.0,0,0.0,Choque,18.0,Normal
11861,2019-11-17 05:00:00,7,Planta Central,0,0.0,0,0.0,Choque,11.0,Normal
11862,2019-11-24 05:00:00,7,Planta Central,1,5.0,0,0.0,Choque,13.0,Normal
11863,2019-11-14 05:00:00,4,Córdoba,1,2.0,0,0.0,Choque,14.0,Normal
