,Fecha,DOW,Ciudad,Heridos,Cuenta Heridos,Muertos,Cuenta Muertos,Hora,Tipo de vehiculo,Barrio,Comuna
27227,2018-12-22,6,Bucaramanga,0,,1,,13,"('PEATON', 'CAMION')",Alfonso López,05. GARCIA ROVIRA
27228,2018-12-22,6,Bucaramanga,1,,0,,12,"('AUTOMOVIL',)",San Alonso,13. ORIENTAL
27229,2018-12-22,6,Bucaramanga,1,,0,,15,,Antonia Santos Centro,13. ORIENTAL
27230,2018-12-22,6,Bucaramanga,0,,0,,15,"('AUTOMOVIL',)",Diamante II,10. PROVENZA
27231,2018-12-22,6,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'BUS')",Conucos,12. CABECERA DEL LLANO
27232,2018-12-22,6,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'CAMIONETA')",Centro,15. CENTRO
27233,2018-12-22,6,Bucaramanga,0,,0,,18,"('AUTOMOVIL', 'CAMION')",San Luis,10. PROVENZA
27234,2018-12-22,6,Bucaramanga,0,,0,,20,"('AUTOMOVIL', 'OTRO')",La Aurora,13. ORIENTAL
27235,2018-12-22,6,Bucaramanga,1,,0,,19,"('AUTOMOVIL',)",Ciudadela Real de Minas,07. LA CIUDADELA
27236,2018-12-22,6,Bucaramanga,0,,0,,21,"('AUTOMOVIL',)",Antonia Santos Centro,13. ORIENTAL
27237,2018-12-22,6,Bucaramanga,1,,0,,14,"('PEATON',)",Centro,15. CENTRO
27238,2018-12-22,6,Bucaramanga,1,,0,,4,"('AUTOMOVIL',)",La Pedregosa,09. LA PEDREGOSA
27239,2018-12-23,7,Bucaramanga,1,,0,,10,"('PEATON', 'AUTOMOVIL')",Sotomayor,12. CABECERA DEL LLANO
27240,2018-12-23,7,Bucaramanga,1,,0,,15,"('AUTOMOVIL',)",Ricaurte,06. LA CONCORDIA
27241,2018-12-23,7,Bucaramanga,1,,0,,16,"('AUTOMOVIL',)",Mejoras Públicas,13. ORIENTAL
27242,2018-12-23,7,Bucaramanga,0,,0,,16,"('AUTOMOVIL', 'BUSETA')",Centro,15. CENTRO
27243,2018-12-23,7,Bucaramanga,0,,0,,17,"('AUTOMOVIL',)",El Tejar,16. LAGOS DEL CACIQUE
27244,2018-12-23,7,Bucaramanga,0,,0,,20,"('AUTOMOVIL',)",La Pedregosa,09. LA PEDREGOSA
27245,2018-12-23,7,Bucaramanga,0,,0,,21,"('AUTOMOVIL',)",La Ceiba,06. LA CONCORDIA
27246,2018-12-23,7,Bucaramanga,0,,0,,22,"('AUTOMOVIL', 'CAMIONETA')",Bolarquí,12. CABECERA DEL LLANO
27247,2018-12-23,7,Bucaramanga,0,,0,,13,"('AUTOMOVIL',)",Centro,15. CENTRO
27248,2018-12-24,1,Bucaramanga,1,,0,,8,"('PEATON', 'AUTOMOVIL')",Ciudadela Real de Minas,07. LA CIUDADELA
27249,2018-12-24,1,Bucaramanga,1,,0,,8,"('AUTOMOVIL',)",La Victoria,06. LA CONCORDIA
